model_id,n_items,accuracy,balanced_accuracy,f1,precision,recall,matthews_corrcoef,unparsed_rate,truncated,duration_seconds,sentences_per_second,latency_p50_seconds,latency_p95_seconds,generated_tokens,output_tokens_per_second,mean_accept_length,draft_accept_rate,runtime,generation_mode,model_revision,accuracy_ci95,precision_ci95,recall_ci95,f1_ci95,matthews_corrcoef_ci95,mcnemar_top_run,mcnemar_p_vs_top
Qwen/Qwen3-4B-Instruct-2507,154,0.8506,0.8492,0.8606,0.8353,0.8875,0.7016,0.0,0,5.91,26.053,,,,,,,transformers,static-batched,cdbee75f17c01a7cc42f958dc650907174af0554,"[0.7859, 0.8984]","[0.7423, 0.8993]","[0.7998, 0.9397]","[0.8000, 0.9153]","[0.5870, 0.8147]",Qwen/Qwen3-4B-Instruct-2507,1.0
google/gemma-4-E4B-it,154,0.8182,0.8189,0.8205,0.8421,0.8,0.6374,0.0,0,5.98,25.744,,,,,,,transformers,static-batched,ee0ef6023621cff504d758262d4e04895a5af4a2,"[0.7498, 0.8711]","[0.7440, 0.9073]","[0.6995, 0.8730]","[0.7532, 0.8805]","[0.5167, 0.7532]",Qwen/Qwen3-4B-Instruct-2507,0.45825831964612007
google/gemma-4-E2B-it,154,0.7013,0.71,0.629,0.8864,0.4875,0.4644,0.0,0,8.78,17.534,,,,,,,transformers,static-batched,3e22461f65e89153144f8adb70e3b8c2cc9845a7,"[0.6248, 0.7680]","[0.7602, 0.9505]","[0.3811, 0.5951]","[0.5242, 0.7246]","[0.3396, 0.5873]",Qwen/Qwen3-4B-Instruct-2507,0.000430857042374555
allenai/Olmo-3-7B-Instruct,154,0.6299,0.6432,0.4571,0.96,0.3,0.3882,0.0,0,8.6,17.907,,,,,,,transformers,static-batched,6e5971d9eba42665f5bd5a0fcf047f299ce1dccc,"[0.5513, 0.7021]","[0.8046, 0.9929]","[0.2106, 0.4077]","[0.3273, 0.5688]","[0.2798, 0.4856]",Qwen/Qwen3-4B-Instruct-2507,1.7428522601631996e-05
