model_id,n_items,accuracy,balanced_accuracy,f1,precision,recall,matthews_corrcoef,unparsed_rate,truncated,duration_seconds,sentences_per_second,latency_p50_seconds,latency_p95_seconds,generated_tokens,output_tokens_per_second,mean_accept_length,draft_accept_rate,runtime,generation_mode,model_revision,accuracy_ci95,precision_ci95,recall_ci95,f1_ci95,matthews_corrcoef_ci95,mcnemar_top_run,mcnemar_p_vs_top
ibm-granite/granite-3.3-2b-instruct,154,0.6364,0.6449,0.5484,0.7727,0.425,0.3206,0.0,0,4.97,30.98,,,,,,,transformers,static-batched,707f574c62054322f6b5b04b6d075f0a8f05e0f0,"[0.5579, 0.7082]","[0.6301, 0.8716]","[0.3226, 0.5343]","[0.4363, 0.6457]","[0.1768, 0.4580]",ibm-granite/granite-3.3-2b-instruct,1.0
tiiuae/Falcon3-3B-Instruct,154,0.6558,0.6687,0.5047,1.0,0.3375,0.4435,0.0,0,3.64,42.296,,,,,,,transformers,static-batched,411bb94318f94f7a5735b77109f456b1e74b42a1,"[0.5778, 0.7263]","[0.8754, 1.0000]","[0.2435, 0.4464]","[0.3838, 0.6111]","[0.3583, 0.5288]",ibm-granite/granite-3.3-2b-instruct,0.7607916425613439
HuggingFaceTB/SmolLM3-3B,154,0.6494,0.6625,0.4906,1.0,0.325,0.4335,0.0,0,19.39,7.944,,,,,,,transformers,static-batched,a07cc9a04f16550a088caea529712d1d335b0ac1,"[0.5712, 0.7202]","[0.8713, 1.0000]","[0.2324, 0.4336]","[0.3636, 0.6018]","[0.3435, 0.5220]",ibm-granite/granite-3.3-2b-instruct,0.8450189828872681
tiiuae/Falcon3-7B-Instruct,154,0.5974,0.6125,0.3673,1.0,0.225,0.3499,0.0,0,7.0,21.987,,,,,,,transformers,static-batched,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,"[0.5185, 0.6716]","[0.8241, 1.0000]","[0.1473, 0.3279]","[0.2418, 0.4792]","[0.2665, 0.4304]",ibm-granite/granite-3.3-2b-instruct,0.40503224614076316
tiiuae/Falcon3-1B-Instruct,154,0.513,0.5307,0.1379,0.8571,0.075,0.1475,0.0,0,3.69,41.723,,,,,,,transformers,static-batched,28ba2251970a01dd1edc7ba7dad2eb71216ccfdf,"[0.4347, 0.5906]","[0.4869, 0.9743]","[0.0348, 0.1541]","[0.0470, 0.2400]","[0.0030, 0.2564]",ibm-granite/granite-3.3-2b-instruct,0.0033778479119064286
allenai/OLMo-2-1124-7B-Instruct,154,0.5,0.5188,0.0723,1.0,0.0375,0.1356,0.0,0,7.73,19.912,,,,,,,transformers,static-batched,470b1fba1ae01581f270116362ee4aa1b97f4c84,"[0.4220, 0.5780]","[0.4385, 1.0000]","[0.0128, 0.1045]","[0.0000, 0.1573]","[0.0000, 0.2072]",ibm-granite/granite-3.3-2b-instruct,0.0014504910141113214
