model_id,n_items,accuracy,balanced_accuracy,f1,precision,recall,matthews_corrcoef,unparsed_rate,truncated,duration_seconds,sentences_per_second,latency_p50_seconds,latency_p95_seconds,generated_tokens,output_tokens_per_second,mean_accept_length,draft_accept_rate,runtime,generation_mode,model_revision,accuracy_ci95,precision_ci95,recall_ci95,f1_ci95,matthews_corrcoef_ci95,mcnemar_top_run,mcnemar_p_vs_top
Qwen/Qwen3-8B,154,0.8506,0.8537,0.8435,0.9254,0.775,0.7129,0.0,0,7.82,19.683,,,,,,,transformers,static-batched,b968826d9c46dd6066d109eabc6255188de91218,"[0.7859, 0.8984]","[0.8369, 0.9677]","[0.6721, 0.8527]","[0.7714, 0.8993]","[0.6024, 0.8096]",Qwen/Qwen3-8B,1.0
Qwen/Qwen3-4B,154,0.7727,0.7762,0.7586,0.8462,0.6875,0.5588,0.0,0,5.47,28.174,,,,,,,transformers,static-batched,1cfa9a7208912126459214e8b04321603b3df60c,"[0.7004, 0.8318]","[0.7394, 0.9142]","[0.5793, 0.7785]","[0.6719, 0.8289]","[0.4237, 0.6795]",Qwen/Qwen3-8B,0.022655844688415527
Qwen/Qwen3-0.6B,154,0.5195,0.5,0.6838,0.5195,1.0,0.0,0.0,0,2.91,52.848,,,,,,,transformers,static-batched,c1899de289a04d12100db370d81485cdf75e47ca,"[0.4411, 0.5970]","[0.4411, 0.5970]","[0.9542, 1.0000]","[0.6126, 0.7480]","[0.0000, 0.0000]",Qwen/Qwen3-8B,3.321617372543577e-08
Qwen/Qwen3-1.7B,154,0.4935,0.5125,0.0488,1.0,0.025,0.1103,0.0,0,3.12,49.327,,,,,,,transformers,static-batched,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,"[0.4157, 0.5717]","[0.3424, 1.0000]","[0.0069, 0.0866]","[0.0000, 0.1220]","[0.0000, 0.1790]",Qwen/Qwen3-8B,4.869560700851427e-13
